BlockId,Label
blk_-1608999687919862906,Normal
blk_7503483334202473044,Normal
blk_5187990879498388498,Normal
blk_3587508140051953248,Normal
blk_6952596789665183135,Normal
blk_2550939391981609596,Normal
blk_8229395827281634424,Normal
blk_1489675817387596054,Normal
blk_4295478905523498505,Normal
blk_8026834117894219258,Normal
blk_-3544583377289625738,Anomaly
blk_-6670958622368987959,Anomaly
blk_752079742505476498,Anomaly
blk_4864114986828757413,Normal
blk_-3220631299843498947,Normal
blk_1344803714752595475,Normal
blk_-9073992586687739851,Normal
blk_-4980916519894198244,Normal
